Local,Nome,Logradouro,Latitude,Longitude
Café Deli,Europa Cafe,3 Times Sq,40.756376,-73.986713
Quick Serve,Ranch 1,832 Eighth Ave,40.762444,-73.985983
Full Serve,Sosa Borella,832 Eighth Ave,40.762444,-73.985983
Full Serve,Mi Nidito (Cantina Mexicana),852 Eighth Ave,40.763128,-73.985481
Coffee,Starbucks,871-879 Eighth Ave,40.763644,-73.985134
Full Serve,China Gourmet,877 Eighth Ave,40.763789,-73.985026
Full Serve,Rino Trattoria,877 Eighth Ave,40.763789,-73.985026
Café Deli,Laxmi Corp. Newsstand,879 Eighth Ave,40.763839,-73.98499
Full Serve,Caffe Cielo,881 Eighth Ave,40.763885,-73.984954
Full Serve,Cosmic Diner,888 Eighth Ave,40.764072,-73.984791
Full Serve,Brasserie Athena,300 W 46th St,40.759963,-73.988355
Full Serve,The House of Brews,302 W 51st St,40.763037,-73.985958
Full Serve,Seasons,888 Eighth Ave,40.764072,-73.984791
Quick Serve,World of Nuts and Ice Cream,888 Eighth Ave,40.764072,-73.984791
Café Deli,Green Emporium,791 Eighth Ave,40.761133,-73.986958
Full Serve,Rosie O'Grady's Saloon,800 Seventh Ave,40.762441,-73.982294
Café Deli,810 Deli Inc ,810 Seventh Ave,40.762639,-73.982146
Café Deli,Deli Café,810 Seventh Ave,40.762639,-73.982146
Full Serve,Ichi Masa Japanese Sushi,825 Eighth Ave,40.762074,-73.986275
Coffee,Starbucks,825 Eighth Ave,40.762074,-73.986275
Coffee,Starbucks,156 W 52nd St,40.762027,-73.981622
Full Serve,The Library @ Paramount Hotel,235 W 46th St,40.759132,-73.986348
Bar Lounge,46 Bar (Paramount Hotel),235 W 46th St,40.759132,-73.986348
Café Deli,Victor's Cafe,236 W 52nd St,40.762968,-73.983853
Quick Serve,Auntie Anne's,664 Eighth Ave,40.757436,-73.989633
Full Serve,B.B. King Blues Club & Grill,237 W 42nd St,40.756785,-73.988702
Quick Serve,Cold Stone Creamery Tim Horton's,243 W 42nd St,40.756821,-73.988789
Full Serve,Dallas BBQ,27 West 72nd Street,40.776988,-73.977766
Coffee,Starbucks,251 W 42nd St,40.756867,-73.988901
Full Serve,Pongsri Thai Restaurant,244 W 48th St,40.76052,-73.985817
Full Serve,Smokehouse,249 W 48th St,40.76057,-73.98589
Full Serve,Lucky Star Cafe,250 W 43rd St,40.757309,-73.987901
Full Serve,Shula's Steakhouse,250 W 43rd St,40.757309,-73.987901
Full Serve,Scarlatto,250 W 47th St,40.759892,-73.986276
Full Serve,Toloache,251 W 50th St,40.761851,-73.985041
Full Serve,Bluechili,251 W 51st St,40.762477,-73.984586
Full Serve,Pergola des Artistes,252 W 46th St,40.759261,-73.986695
Full Serve,Trattoria Trecolori,254 W 47th St,40.759919,-73.986348
Full Serve,Russian Samovar Restaurant,256 W 52nd St,40.763111,-73.984192
Full Serve,John's Pizzeria,260 W 44th St,40.758124,-73.987897
Quick Serve,Just Pies Inc,260 W 44th St,40.758124,-73.987897
Café Deli,Sunrise Deli,1441 Broadway,40.754707,-73.986753
Full Serve,Restaurant Charlotte @ Millennium Broadway Hotel,145 W 44th St,40.756667,-73.984396
Full Serve,O'Lunney's Times Square Pub,145 W 45th St,40.757336,-73.984017
Coffee,Vacant (Juan Valdez Coffee),1451 Broadway,40.755152,-73.986613
