Local,Nome,Logradouro,Latitude,Longitude
TEATRO,45th Street Theater,354 West 45th Street,40.7599,-73.9906
TEATRO,47th Street Theater,304 West 47th Street,40.7605,-73.98810595
TEATRO,Acorn Theater,410 West 42nd Street,40.7585366821068,-73.9933
TEATRO,Al Hirschfeld Theater,302 W 45th Street,40.7593,-73.98921433
TEATRO,Ambassador Theatre,219 West 49th Street,40.7613,-73.985
TEATRO,American Airlines Theatre,227 W 42nd Street,40.7568,-73.988
TEATRO,Apollo Theater,253 West 125th Street,40.81,-73.95
TEATRO,Arclight Theatre,152 W 71st St,40.7771,-73.9812
TEATRO,Astor Place Theatre,434 Lafayette St,40.7293774091894,-73.9923
TEATRO,Atlantic Theatre,336 W 20th St,40.7439,-74.0016
TEATRO,August Wilson Theatre,245 W 52nd Street,40.7634,-73.9842
TEATRO,Barrow Street Theatre,27 Barrow St,40.7323,-74.0031
TEATRO,Beacon Theatre,2124 Broadway,40.7806,-73.981
TEATRO,Belasco Theatre,111 W 44th St,40.7567,-73.9838
TEATRO,Bernard B. Jacobs Theatre,242 W 45th Street,40.7586,-73.9877
TEATRO,Bleecker Street Theater,45 Bleecker Street,40.726,-73.99417512
TEATRO,Booth Theatre,222 W 45th St,40.7584,-73.9871
TEATRO,Broadhurst Theatre,235 W 44th St,40.7582644097864,-73.9876
TEATRO,Broadway Theatre,1681 Broadway,40.7633,-73.9834
TEATRO,Brooks Atkinson Theatre,256 W 47th St,40.76,-73.987
TEATRO,Castillo Theater,543 West 42nd Street,40.7606,-73.997
TEATRO,Century Center For the Performing Arts,111 E 15th St,40.7352,-73.9889
TEATRO,Cherry Lane Theatre,38 Commerce Street,40.7313,-74.0053
TEATRO,Circle In the Square Theatre,1633 Broadway,40.7620294570833,-73.9845
TEATRO,Connelly Theater,220 E 4th St,40.7236,-73.9836
TEATRO,Cort Theatre,138 W 48th St,40.7591,-73.9831
TEATRO,Daryl Roth Theatre,101 E 15th St,40.7353,-73.9894
TEATRO,Duke Theatre,229 W. 42nd St,40.7568,-73.9882
TEATRO,Ed Sullivan Theater,1697 Broadway,40.7638,-73.9829
TEATRO,Ethel Barrymore Theatre,243 West 47th Street,40.7601,-73.9862
TEATRO,Eugene O'Neill Theater,230 W 49th St,40.7611,-73.9858
TEATRO,Gene Frankel Theatre Workshop,24 Bond St,40.7267,-73.9936
TEATRO,Gerald Schoenfeld Theatre,236 W 45th Street,40.7585059,-73.9874
TEATRO,Gershwin Theatre,222 W 51st St,40.7624,-73.9852
